freq,effect,unit,geo	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
A,RE_L_ORD,NR,FR	0.30 	0.29 	0.26 	0.31 	0.35 	0.31 	0.30 	0.27 	0.21 	0.23 	0.27 	0.26 	0.13 	0.12 b	0.15 	0.18 
A,RE_L_ORD,NR,HR	: 	: 	: 	: 	: 	0.59 	0.53 	0.46 	0.45 	0.51 	0.54 	0.60 	0.37 	0.52 	0.96 	1.77 
A,RE_L_ORD,NR,HU	0.17 	0.22 	0.24 	0.46 	0.55 	0.44 	0.44 	0.61 	0.08 	0.25 	0.13 	0.18 	0.35 	0.37 	0.20 	0.45 
A,RE_L_ORD,NR,IE	0.15 	0.18 	0.18 	0.17 	0.16 	0.14 	0.07 	0.08 	0.12 	0.07 	0.08 	0.11 	0.07 	0.03 	0.04 	0.06 
A,RE_L_ORD,NR,IS	0.06 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.17 	: 	: 	: 	: 
A,RE_L_ORD,NR,IT	0.12 	0.09 	0.08 	0.10 	0.12 	0.10 	0.09 	0.08 	0.09 	0.12 	0.09 	0.11 	0.05 	0.02 	0.05 	0.06 
A,RE_L_ORD,NR,LI	0.40 	0.79 	0.28 	0.30 	0.11 	0.22 	0.35 	0.37 	0.37 	: 	0.55 	0.42 	: 	1.02 	0.51 	: 
A,RE_L_ORD,NR,LT	0.27 	0.29 	0.39 	0.54 	0.61 	0.56 	0.66 	0.59 	0.54 	0.65 	0.75 	0.73 	0.58 	0.63 	0.87 	1.21 
A,RE_L_ORD,NR,LU	: 	0.21 	0.15 	0.67 	1.92 	1.13 	1.10 	1.28 	0.71 	0.75 	0.47 	0.47 	0.28 	0.26 	0.26 	0.40 
A,RE_L_ORD,NR,LV	0.12 	0.09 	0.09 	0.51 	1.01 	1.02 	0.77 	0.52 	0.69 	0.65 	0.76 	0.82 	0.48 	0.40 	0.93 	1.07 
A,RE_L_ORD,NR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.40 	1.71 	1.95 
A,RE_L_ORD,NR,MT	0.74 	1.29 	0.66 	0.38 	1.36 	1.09 	1.16 	1.06 	0.94 	1.03 	1.11 	1.22 	0.74 	1.37 	1.29 	1.70 
A,RE_L_ORD,NR,NL	0.57 	0.54 	0.62 	0.57 	0.58 	0.48 	0.48 	0.51 b	0.73 	0.49 	0.52 	0.65 	0.51 	0.18 	0.20 	0.38 
A,RE_L_ORD,NR,NO	0.35 	: 	: 	0.80 	0.81 	0.88 	1.05 	1.05 	1.14 	0.69 	: 	: 	0.62 	0.86 	0.41 	0.37 
A,RE_L_ORD,NR,PL	0.23 	0.18 	0.18 	0.19 	0.18 	0.22 	0.24 	0.34 	0.49 	0.58 	0.68 	0.68 	0.22 	0.17 	0.12 	0.19 
A,RE_L_ORD,NR,PT	0.13 	0.12 	0.13 	0.12 	0.13 	0.11 	0.08 	0.06 	0.04 	0.03 	0.03 	0.05 	0.05 	0.03 	0.06 	0.04 
A,RE_L_ORD,NR,RO	0.19 	0.23 	0.15 	0.14 	0.14 	0.11 	0.10 	0.10 	0.09 	0.09 	0.09 	0.12 	0.09 	0.09 	0.14 	0.14 
A,RE_L_ORD,NR,SE	0.98 	1.29 	1.57 	1.43 	1.70 	1.50 	0.69 	1.01 	1.20 	1.00 	1.06 	0.97 	0.80 	0.89 	1.00 	0.98 
A,RE_L_ORD,NR,SI	0.99 	1.09 	0.95 	0.85 	0.53 	0.43 	0.41 	0.41 	0.16 	0.12 	2.15 	4.48 	4.06 	1.82 	1.14 	0.17 
A,RE_L_ORD,NR,SK	0.24 	0.17 	0.11 	0.08 	0.06 	0.07 	0.13 	0.23 	0.26 	0.32 	0.39 	0.29 	0.08 	0.07 	0.05 	0.06 
